post_name;poids;Région;Domaine;Appellation;Couleur;Cépage;Millésime;Garde;Contenance;Degré d'alcool;Température dégustation;Alliance mets
domaine-hauvette-igp-alpilles-jaspe-2017;1.5 kg;Provence;Domaine Hauvette;Alpilles;Blanc;Roussanne;2019;4-7 ans;75cl;12,50%;12°C;Charcuterie, Crustacés, Poissons, Volaille
domaine-hauvette-igp-alpilles-dolia-2013;1.5 kg;Provence;Domaine Hauvette;Alpilles;Blanc;Clairette, Marsanne, Roussanne;2013;10 ans et +;75cl;13,5%;12°C;Charcuterie, Crustacés, Poissons, Volaille
emile-boeckel-cremant-chardonnay-extra-brut-2016;1.5 kg;Alsace;Emile Boeckel;Crémant d'Alsace;Blanc;Chardonnay;;3-5 ans;75cl;12%;9°C;Apéritif, Fromages, Huîtres, Poissons
chateau-simone-blanc-2017;1.5 kg;Provence;Château Simone;Palette;Blanc;Bourboulenc, Clairette, Grenache Blanc, Muscat, Ugni Blanc;2018;10 ans et +;75cl;13,5%;12°C;Anchoïade de légumes, Carpaccio de poisson, Farcis provençaux
domino-romano-ribera-del-duero-rdr-2015;1.5 kg;Espagne;Domino Romano;Ribera Del Duero;Rouge;Tinto Fino;2015;10 ans et +;75cl;14,5%;18°C;Agneau, Canard, Grillades, Viande rouge
gratavinum-priorat-gv5-2011;1.5 kg;Espagne;Gratavinum;Priorat;Rouge;Cabernet Sauvignon, Carignan, Grenache;2013;10 ans et +;75cl;14,5%;16°C;Agneau, Canard, Grillades, Viande rouge
gratavinum-priorat-2%cf%80r-2017;1.5 kg;Espagne;Gratavinum;Priorat;Rouge;Cabernet Sauvignon, Carignan, Grenache, Syrah;2018;10 ans et +;75cl;13,5%;16°C;Agneau, Canard, Grillades, Viande rouge
chateau-jean-faure-saint-emilion-grand-cru-2016;1.5 kg;Bordeaux;Château Jean Faure;Saint-Emilion Grand Cru Classé;Rouge;Cabernet Franc, Malbec, Merlot;2016;15 ans et +;75cl;13,5%;18°C;Filet de boeuf, Gibier, Magret de Canard
mouthes-le-bihan-aime-chai-2015;1.5 kg;Sud Ouest;Mouthes Le Bihan;Côtes-de-Duras;Rouge;Cabernet Sauvignon, Malbec, Merlot;2016;4-7 ans;75cl;13,5%;14°C;Boeuf aux carottes, Pommes de terre sarladaises, Cassoulet
camin-larredya-jurancon-sec-la-virada-2018;1.5 kg;Sud Ouest;Camin Larredya;Jurançon;Blanc;Gros Manseng, Petit Courbu, Petit Manseng;2018;8-10 ans;75cl;14%;11°C;Charcuterie, Fromages, Poissons, Viande Blanche
jamet-cote-rotie-fructus-voluptas-2018;1.5 kg;Rhône;Jamet;Côte Rôtie;Rouge;Syrah;2020;10 ans et +;75cl;13%;16°C;Agneau, Gibier, Pigeon, Viande rouge
domaine-saint-nicolas-fiefs-vendeens-blanc-les-clous-2019;1.5 kg;Vallée de la Loire;Saint-Nicolas;;Blanc;Chardonnay, Chenin;2019;3-5 ans;75cl;14%;12°C;Crustacés, Fromages, Poissons
